dataset,rule,a,source,output
v_la01,min,2.5,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=min_a=2.5/v_la01/seed_102.json
v_la01,min,3.0,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=min_a=3.0/v_la01/seed_102.json
v_la01,avg,1.5,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=avg_a=1.5/v_la01/seed_102.json
v_la01,avg,2.0,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=avg_a=2.0/v_la01/seed_102.json
v_la01,avg,2.5,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=avg_a=2.5/v_la01/seed_102.json
v_la01,avg,3.0,experiments/prepared_instances/public20_combined_templates/v_la01/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la01/due=avg_a=3.0/v_la01/seed_102.json
r_la25,max,1.5,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=max_a=1.5/r_la25/seed_102.json
r_la25,max,2.0,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=max_a=2.0/r_la25/seed_102.json
r_la25,max,2.5,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=max_a=2.5/r_la25/seed_102.json
r_la25,max,3.0,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=max_a=3.0/r_la25/seed_102.json
r_la25,min,1.5,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=min_a=1.5/r_la25/seed_102.json
r_la25,min,2.0,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=min_a=2.0/r_la25/seed_102.json
r_la25,min,2.5,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=min_a=2.5/r_la25/seed_102.json
r_la25,min,3.0,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=min_a=3.0/r_la25/seed_102.json
r_la25,avg,1.5,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=avg_a=1.5/r_la25/seed_102.json
r_la25,avg,2.0,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=avg_a=2.0/r_la25/seed_102.json
r_la25,avg,2.5,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=avg_a=2.5/r_la25/seed_102.json
r_la25,avg,3.0,experiments/prepared_instances/public20_combined_templates/r_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/r_la25/due=avg_a=3.0/r_la25/seed_102.json
v_la25,max,1.5,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=max_a=1.5/v_la25/seed_102.json
v_la25,max,2.0,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=max_a=2.0/v_la25/seed_102.json
v_la25,max,2.5,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=max_a=2.5/v_la25/seed_102.json
v_la25,max,3.0,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=max_a=3.0/v_la25/seed_102.json
v_la25,min,1.5,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=min_a=1.5/v_la25/seed_102.json
v_la25,min,2.0,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=min_a=2.0/v_la25/seed_102.json
v_la25,min,2.5,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=min_a=2.5/v_la25/seed_102.json
v_la25,min,3.0,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=min_a=3.0/v_la25/seed_102.json
v_la25,avg,1.5,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=avg_a=1.5/v_la25/seed_102.json
v_la25,avg,2.0,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=avg_a=2.0/v_la25/seed_102.json
v_la25,avg,2.5,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=avg_a=2.5/v_la25/seed_102.json
v_la25,avg,3.0,experiments/prepared_instances/public20_combined_templates/v_la25/seed_102.json,experiments/prepared_instances/fixed_due_15datasets/v_la25/due=avg_a=3.0/v_la25/seed_102.json
